City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Soller,ES,39.7662,2.7152,70.86,86,100,1.01,overcast clouds
292,Treinta Y Tres,UY,-33.2333,-54.3833,58.44,98,100,7.76,overcast clouds
293,Itaituba,BR,-4.2761,-55.9836,75.78,89,82,0.69,broken clouds
294,Mana,GF,5.6592,-53.7767,78.87,86,67,7.67,broken clouds
295,Krasnoye,UA,49.9145,24.6134,34.74,82,3,6.2,clear sky
296,Waitati,NZ,-45.75,170.5667,49.8,66,97,9.24,overcast clouds
297,Tessalit,ML,20.1986,1.0114,75.78,22,18,10.69,few clouds
298,Sorsk,RU,54.0033,90.2467,37.85,79,32,6.24,scattered clouds
299,Nadym,RU,65.5333,72.5167,32.13,96,100,17.47,light snow
300,Yerbogachen,RU,61.2767,108.0108,30.97,74,100,5.5,overcast clouds
301,Mackay,AU,-21.15,149.2,79.68,85,99,6.04,moderate rain
302,Valkla,EE,59.4744,25.3186,44.65,87,100,6.6,overcast clouds
303,Quatre Cocos,MU,-20.2078,57.7625,71.1,78,38,11.14,scattered clouds
304,Bredasdorp,ZA,-34.5322,20.0403,54.48,88,62,4.45,broken clouds
305,Ouegoa,NC,-20.35,164.4333,77.52,64,97,13.44,overcast clouds
306,Goderich,CA,43.7501,-81.7165,45.91,75,99,11.5,overcast clouds
307,Pontes E Lacerda,BR,-15.2261,-59.3353,73.78,93,100,1.03,overcast clouds
308,Oga,IT,46.4631,10.347,50.54,93,100,6.26,overcast clouds
309,Narva-Joesuu,EE,59.4589,28.0408,43.99,85,100,7.16,overcast clouds
310,Ocampo,MX,21.65,-101.5,54.73,46,48,6.42,scattered clouds
311,Kankaanpaa,FI,61.8,22.4167,36.36,94,100,3.98,overcast clouds
312,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.6,93,0,2.3,clear sky
313,Ulladulla,AU,-35.35,150.4667,70.7,95,100,9.48,light rain
314,Dhenkanal,IN,20.6667,85.6,75.29,63,0,4.54,clear sky
315,Haines Junction,CA,60.7522,-137.5108,35.55,80,100,1.14,overcast clouds
316,Avera,US,33.194,-82.5271,43.92,38,0,4.79,clear sky
317,Kargasok,RU,59.0556,80.8572,38.66,85,99,10.13,overcast clouds
318,Bubaque,GW,11.2833,-15.8333,81.14,73,57,5.14,broken clouds
319,Mazyr,BY,52.0495,29.2456,38.5,87,90,4.36,overcast clouds
320,Nishihara,JP,26.1842,127.7558,83.48,67,75,24.16,broken clouds
321,Namatanai,PG,-3.6667,152.4333,85.66,65,100,2.93,light rain
322,Vila,PT,42.0304,-8.1588,50.88,90,100,9.06,overcast clouds
323,Yelatma,RU,54.9675,41.7508,33.28,83,7,1.01,clear sky
324,Qaqortoq,GL,60.7167,-46.0333,34.86,64,100,11.23,overcast clouds
325,Chita,RU,52.0333,113.55,35.49,44,20,2.24,few clouds
326,Cueramaro,MX,20.6167,-101.7167,59.11,43,77,1.19,broken clouds
327,Ugoofaaru,MV,5.6667,73.0,81.16,79,75,14.38,broken clouds
328,Havelock,US,34.8791,-76.9013,62.55,87,0,0.0,clear sky
329,Upington,ZA,-28.4478,21.2561,73.78,46,0,8.05,clear sky
330,La Ronge,CA,55.1001,-105.2842,52.05,43,75,12.66,broken clouds
331,Dicabisagan,PH,17.0818,122.4157,81.5,81,100,3.51,overcast clouds
332,Tocopilla,CL,-22.092,-70.1979,61.99,69,20,5.55,few clouds
333,Ruteng,ID,-8.6136,120.4721,77.43,56,57,0.67,broken clouds
334,Cap Malheureux,MU,-19.9842,57.6142,71.47,82,19,1.99,few clouds
335,Garowe,SO,8.4054,48.4845,74.07,80,18,9.28,few clouds
336,Nuuk,GL,64.1835,-51.7216,35.24,72,100,8.81,snow
337,Lompoc,US,34.6391,-120.4579,72.01,93,0,4.61,mist
338,Souillac,MU,-20.5167,57.5167,70.18,88,40,4.61,scattered clouds
339,Port Keats,AU,-14.25,129.55,93.06,51,29,10.51,scattered clouds
340,Katsuura,JP,35.1333,140.3,69.44,55,0,11.61,clear sky
341,Aranda De Duero,ES,41.6704,-3.6892,54.39,83,100,6.67,overcast clouds
342,Cheremukhovo,RU,60.3484,59.9851,29.41,73,81,7.54,broken clouds
343,Salta,AR,-24.7859,-65.4117,68.59,53,40,4.61,scattered clouds
344,Zhigansk,RU,66.7697,123.3711,19.47,94,97,6.4,overcast clouds
